,Model,Data,Accuracy,Precision,Recall,Negative Recall,F1 Score
0,model,train,0.572273850440979,0.5622241835834069,0.9845440494590417,0.07462686567164178,0.7157303370786516
1,model,test,0.5559265613555908,0.5548986486486487,0.9924471299093656,0.016791044776119403,0.7118093174431203
2,model,train,0.5209731459617615,0.6084656084656085,0.35222052067381315,0.725417439703154,0.4461687681862269
3,model,test,0.5613747835159302,0.6478555304740407,0.4302848575712144,0.7189189189189189,0.5171171171171172
4,model,train,0.5878734588623047,0.5845881310894597,1.0,0.01882845188284519,0.737842370039128
5,model,test,0.5678907036781311,0.5625546806649169,0.9907550077041603,0.0421455938697318,0.7176339285714286
6,model,train,0.5717862844467163,0.5814220183486238,0.7740458015267175,0.3278084714548803,0.6640471512770137
7,model,test,0.5749574303627014,0.5888268156424581,0.8009118541033434,0.2868217054263566,0.678686413393432
8,model,train,0.5672665238380432,0.5658238884045336,0.989329268292683,0.025440313111545987,0.7199112590127565
9,model,test,0.5856013894081116,0.5848880597014925,0.9587155963302753,0.08247422680412371,0.7265353418308227
10,model,train,0.5937219858169556,0.5904499540863177,0.9892307692307692,0.04086021505376344,0.7395054629097183
11,model,test,0.5778341889381409,0.5709342560553633,0.995475113122172,0.04431599229287091,0.7256734469488729
12,model,train,0.5826010704040527,0.5826010544815465,1.0,0.0,0.7362576346474181
13,model,test,0.5607638955116272,0.5607638888888888,1.0,0.0,0.7185761957730812
14,model,train,0.6343216300010681,0.6404109589041096,0.8591117917304747,0.31521739130434784,0.7338129496402878
15,model,test,0.5053974390029907,0.6107871720116618,0.6387195121951219,0.2644628099173554,0.6244411326378538
16,model,train,0.5763422846794128,0.5673076923076923,0.9848254931714719,0.07129455909943715,0.7199112590127565
17,model,test,0.5616093873977661,0.5571054925893636,0.9770642201834863,0.0575139146567718,0.7096057745696835
18,model,train,0.5918367505073547,0.5814376706096451,0.9696509863429439,0.1102514506769826,0.7269624573378839
19,model,test,0.5795053243637085,0.5780141843971631,1.0,0.008333333333333333,0.7325842696629213
